(3747.0, 34.9, 44.3)
(3762.0, 34.9, 44.3)
(3777.0, 34.9, 44.3)
(3790.0, 34.9, 44.3)
(3801.0, 34.9, 44.3)
(3813.0, 34.9, 44.3)
(3827.0, 34.9, 44.3)
(3842.0, 34.9, 44.3)
(3855.0, 34.9, 44.3)
(3870.0, 34.9, 44.3)
(3881.0, 34.9, 44.3)
(3896.0, 34.9, 44.3)
(3909.0, 34.9, 44.3)
(3924.0, 34.9, 44.3)
(3938.0, 34.9, 44.3)
(3953.0, 34.9, 44.3)
(3963.0, 34.9, 44.3)
(3976.0, 34.9, 44.3)
(3991.0, 34.9, 44.3)
(4005.0, 34.9, 44.3)
(4020.0, 34.9, 44.3)
(4035.0, 34.9, 44.3)
(4050.0, 34.9, 44.3)
(4064.0, 34.9, 44.3)
(4078.0, 34.9, 44.3)
(4092.0, 34.9, 44.3)
(4107.0, 34.9, 44.3)
(4122.0, 34.9, 44.3)
(4136.0, 34.9, 44.3)
(4151.0, 34.9, 44.3)
(4165.0, 34.9, 44.3)
(4180.0, 34.9, 44.3)
(4195.0, 34.9, 44.3)
(4208.0, 34.9, 44.3)
(4220.0, 34.9, 44.3)
(4229.0, 34.9, 44.3)
(4244.0, 34.9, 44.3)
(4253.0, 34.9, 44.3)
(4268.0, 34.9, 44.3)
(4282.0, 34.9, 44.3)
(4297.0, 34.9, 44.3)
(4312.0, 34.9, 44.3)
(4326.0, 34.9, 44.3)
(4341.0, 34.9, 44.3)
(4355.0, 34.9, 44.3)
(4369.0, 34.9, 44.3)
(4384.0, 34.9, 44.3)
(4398.0, 34.9, 44.3)
(4412.0, 34.9, 44.3)
(4427.0, 34.9, 44.3)
(4436.0, 34.9, 44.3)
(4450.0, 34.9, 44.3)
(4465.0, 34.9, 44.3)
(4480.0, 34.9, 44.3)
(4489.0, 34.9, 44.3)
(4504.0, 34.9, 44.3)
(4518.0, 34.9, 44.3)
(4528.0, 34.9, 44.3)
(4537.0, 34.9, 44.3)
(4547.0, 34.9, 44.3)
(4561.0, 34.9, 44.3)
(4573.0, 34.9, 44.3)
(4585.0, 34.9, 44.3)
(4597.0, 34.9, 44.3)
(4608.0, 34.9, 44.3)
(4623.0, 34.9, 44.3)
(4636.0, 34.9, 44.3)
(4646.0, 34.9, 44.3)
(4655.0, 34.9, 44.3)
(4664.0, 34.9, 44.3)
(4673.0, 34.9, 44.3)
(4688.0, 34.9, 44.3)
(4702.0, 34.9, 44.3)
(4717.0, 34.9, 44.3)
(4732.0, 34.9, 44.3)
(4747.0, 34.9, 44.3)
(4761.0, 34.9, 44.3)
(4776.0, 34.9, 44.3)
(4791.0, 34.9, 44.3)
(4804.0, 34.9, 44.3)
(4819.0, 34.9, 44.3)
(4833.0, 34.9, 44.3)
(4848.0, 34.9, 44.3)
(4863.0, 34.9, 44.3)
(4878.0, 34.9, 44.3)
(4892.0, 34.9, 44.3)
(4907.0, 34.9, 44.3)
(4922.0, 34.9, 44.3)
(4936.0, 34.9, 44.3)
(4951.0, 34.9, 44.3)
(4965.0, 34.9, 44.3)
(4980.0, 34.9, 44.3)
(4995.0, 34.9, 44.3)
(5010.0, 34.9, 44.3)
(5025.0, 34.9, 44.3)
(5037.0, 34.9, 44.3)
(5050.0, 34.9, 44.3)
(5065.0, 34.9, 44.3)
(5078.0, 34.9, 44.3)
(5093.0, 34.9, 44.3)
(5108.0, 34.9, 44.3)
(5121.0, 34.9, 44.3)
(5136.0, 34.9, 44.3)
(5151.0, 34.9, 44.3)
(5166.0, 34.9, 44.3)
(5180.0, 34.9, 44.3)
(5195.0, 34.9, 44.3)
(5209.0, 34.9, 44.3)
(5219.0, 34.9, 44.3)
(5233.0, 34.9, 44.3)
(5248.0, 34.9, 44.3)
(5263.0, 34.9, 44.3)
(5276.0, 34.9, 44.3)
(5291.0, 34.9, 44.3)
(5305.0, 34.9, 44.3)
(5320.0, 34.9, 44.3)
(5335.0, 34.9, 44.3)
(5348.0, 34.9, 44.3)
(5357.0, 34.9, 44.3)
(5372.0, 34.9, 44.3)
(5387.0, 34.9, 44.3)
(5401.0, 34.9, 44.3)
(5416.0, 34.9, 44.3)
(5431.0, 34.9, 44.3)
(5443.0, 34.9, 44.3)
(5458.0, 34.9, 44.3)
(5472.0, 34.9, 44.3)
(5487.0, 34.9, 44.3)
(5501.0, 34.9, 44.3)
(5516.0, 34.9, 44.3)
(5531.0, 34.9, 44.3)
(5546.0, 34.9, 44.3)
(5560.0, 34.9, 44.3)
(5575.0, 34.9, 44.3)
(5589.0, 34.9, 44.3)
(5604.0, 34.9, 44.3)
(5619.0, 34.9, 44.3)
(5633.0, 34.9, 44.3)
(5648.0, 34.9, 44.3)
(5663.0, 34.9, 44.3)
(5677.0, 34.9, 44.3)
(5691.0, 34.9, 44.3)
(5700.0, 34.9, 44.3)
(5714.0, 34.9, 44.3)
(5729.0, 34.9, 44.3)
(5739.0, 34.9, 44.3)
(5753.0, 34.9, 44.3)
(5768.0, 34.9, 44.3)
(5782.0, 34.9, 44.3)
(5797.0, 34.9, 44.3)
(5810.0, 34.9, 44.3)
(5825.0, 34.9, 44.3)
(5840.0, 34.9, 44.3)
(5854.0, 34.9, 44.3)
(5869.0, 34.9, 44.3)
(5882.0, 34.9, 44.3)
(5897.0, 34.9, 44.3)
(5911.0, 34.9, 44.3)
(5924.0, 34.9, 44.3)
(5939.0, 34.9, 44.3)
(5948.0, 34.9, 44.3)
(5962.0, 34.9, 44.3)
(5976.0, 34.9, 44.3)
(5991.0, 34.9, 44.3)
(6005.0, 34.9, 44.3)
(6019.0, 34.9, 44.3)
(6033.0, 34.9, 44.3)
(6048.0, 34.9, 44.3)
(6059.0, 34.9, 44.3)
(6072.0, 34.9, 44.3)
(6087.0, 34.9, 44.3)
(6101.0, 34.9, 44.3)
(6116.0, 34.9, 44.3)
(6131.0, 34.9, 44.3)
(6145.0, 34.9, 44.3)
(6160.0, 34.9, 44.3)
(6169.0, 34.9, 44.3)
(6179.0, 34.9, 44.3)
